K,Cluster,Centroid
20,7,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
20,8,"[ 1.359057,-1.646086,-0.408268, 0.344297,-0.461871, 0.429761, 0.383109]"
20,9,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
20,10,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
20,11,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
20,12,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
20,13,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
20,14,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
20,15,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
20,16,"[-1.862216,-0.338212, 0.146088, 0.768166, 0.955013, 0.321368, 0.009794]"
20,17,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
20,18,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
20,19,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
20,20,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
21,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
21,2,"[ 1.957238,-0.574305, 0.014718, 0.395656,-0.427036,-0.683738,-0.682532]"
21,3,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
21,4,"[ 1.605023, 0.861254, 0.291628,-0.504404,-0.814155,-0.676002,-0.763345]"
21,5,"[ 1.946219,-0.055009, 0.241617,-0.618578,-0.863931,-0.50595 ,-0.144368]"
21,6,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
21,7,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
21,8,"[ 1.359057,-1.646086,-0.408268, 0.344297,-0.461871, 0.429761, 0.383109]"
21,9,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
21,10,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
21,11,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
21,12,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
21,13,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
21,14,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
21,15,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
