K,Cluster,Centroid
20,8,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
20,9,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
20,10,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
20,11,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
20,12,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
20,13,"[0.915721,0.702376,0.205428,0.290502,0.317594,0.322936,0.371005]"
20,14,"[0.894952,0.648592,0.555893,0.379393,0.176264,0.208168,0.288992]"
20,15,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
20,16,"[0.805117,0.114579,0.31293 ,0.683436,0.303078,0.59305 ,0.526642]"
20,17,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
20,18,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
20,19,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
20,20,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
21,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
21,2,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
21,3,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
21,4,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
21,5,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
21,6,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
21,7,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
21,8,"[0.247141,0.279545,0.198303,0.621267,0.812973,0.727876,0.683821]"
21,9,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
21,10,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
21,11,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
21,12,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
21,13,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
21,14,"[0.915721,0.702376,0.205428,0.290502,0.317594,0.322936,0.371005]"
21,15,"[0.894952,0.648592,0.555893,0.379393,0.176264,0.208168,0.288992]"
21,16,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
21,17,"[0.805117,0.114579,0.31293 ,0.683436,0.303078,0.59305 ,0.526642]"
21,18,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
21,19,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
21,20,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
21,21,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
22,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
22,2,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
22,3,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
22,4,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
22,5,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
22,6,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
22,7,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
22,8,"[0.247141,0.279545,0.198303,0.621267,0.812973,0.727876,0.683821]"
22,9,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
22,10,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
22,11,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
22,12,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
22,13,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
22,14,"[0.915721,0.702376,0.205428,0.290502,0.317594,0.322936,0.371005]"
22,15,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
22,16,"[0.869598,0.71937 ,0.58277 ,0.380967,0.174286,0.182644,0.242986]"
22,17,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
22,18,"[0.805117,0.114579,0.31293 ,0.683436,0.303078,0.59305 ,0.526642]"
22,19,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
22,20,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
22,21,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
22,22,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
23,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
23,2,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
23,3,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
23,4,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
23,5,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
23,6,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
23,7,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
23,8,"[0.247141,0.279545,0.198303,0.621267,0.812973,0.727876,0.683821]"
23,9,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
23,10,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
23,11,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
23,12,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
23,13,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
23,14,"[0.915721,0.702376,0.205428,0.290502,0.317594,0.322936,0.371005]"
23,15,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
23,16,"[0.869598,0.71937 ,0.58277 ,0.380967,0.174286,0.182644,0.242986]"
